label,slope,dem,fault_distance
0,80.9311,752,50.0
1,85.24457,1273,50.0
1,83.3244,1015,50.0
1,84.67829,1480,50.0
1,85.695404,818,50.0
0,57.688465,832,50.0
0,84.65519,1389,50.0
1,86.88888,705,50.0
0,26.56505,777,50.0
0,71.06817,810,50.0
0,83.56048,1085,50.0
0,60.982857,775,50.0
0,82.92944,894,50.0
1,86.57541,942,50.0
1,86.42541,1272,50.0
1,87.25812,1087,50.0
1,86.47313,1130,50.0
0,84.660995,1127,50.0
0,60.982857,771,50.0
1,0.0,768,50.0
1,85.6709,706,50.0
0,65.90515,797,50.0
0,84.45234,386,50.0
0,80.66413,1455,50.0
1,84.45883,1091,50.0
0,72.65393,431,50.0
0,64.7606,782,50.0
0,35.26439,195,50.0
1,64.12331,138,50.0
0,82.40536,296,50.0
1,81.98995,1142,50.0
1,86.71341,922,50.0
0,56.309933,787,50.0
1,85.25274,936,50.0
0,83.30163,715,50.0
0,82.94286,865,50.0
1,86.60708,1323,50.0
1,85.97532,284,50.0
0,84.82678,1256,50.0
1,86.89574,1357,50.0
0,83.79145,1069,50.0
1,85.70448,295,50.0
0,78.030525,1177,50.0
1,85.834175,1105,50.0
1,86.310524,1515,50.0
0,80.60154,971,50.0
0,84.625885,1017,50.0
1,86.851524,715,50.0
1,86.19644,1290,50.0
0,54.73561,158,50.0
1,84.39959,834,50.0
0,84.50995,611,50.0
0,45.0,800,50.0
1,86.13638,882,50.0
1,86.58758,982,50.0
1,86.05481,1367,50.0
1,85.37796,1270,50.0
1,85.25274,743,50.0
0,84.20236,975,50.0
1,86.639336,1021,50.0
0,84.58403,519,50.0
0,26.56505,177,50.0
0,87.896484,633,50.0
0,78.52107,852,50.0
0,57.688465,769,50.0
1,86.494644,1515,50.0
0,80.050865,1037,50.0
0,78.09531,1356,50.0
0,84.43273,496,50.0
0,83.86309,925,50.0
0,45.0,792,50.0
0,84.79486,1825,50.0
0,74.206825,181,50.0
0,48.189682,1543,50.0
0,45.0,776,50.0
0,84.23181,1325,50.0
0,82.92944,1105,50.0
0,57.688465,220,50.0
1,86.46642,1229,50.0
0,84.20977,546,50.0
0,80.9311,277,50.0
0,64.12331,185,50.0
0,82.42198,1243,50.0
0,26.56505,180,50.0
1,85.66781,1107,50.0
0,64.12331,211,50.0
0,84.11897,936,50.0
0,26.56505,791,50.0
1,86.45121,969,50.0
0,83.14771,1187,50.0
0,45.0,844,50.0
0,48.189682,771,50.0
0,75.636696,742,50.0
0,83.047554,1054,50.0
0,84.93406,1421,50.0
1,83.69827,259,50.0
0,87.5227,1756,50.0
0,84.56578,1730,50.0
0,60.982857,775,50.0
1,87.06818,788,50.0
1,85.68014,638,50.0
1,79.480255,309,50.0
1,86.762314,1030,50.0
0,69.62547,774,50.0
0,48.189682,774,50.0
0,87.716675,1333,50.0
1,86.74538,1254,50.0
0,83.78232,1011,50.0
1,86.38111,1602,50.0
0,26.56505,771,50.0
1,86.51093,425,50.0
0,84.20977,1040,50.0
0,48.189682,165,50.0
0,54.73561,824,50.0
0,82.94286,983,50.0
0,84.93406,1209,50.0
1,85.94773,1100,50.0
0,84.32453,1588,50.0
0,80.30342,1059,50.0
0,83.98271,881,50.0
0,75.636696,223,50.0
1,85.24457,1196,50.0
0,35.26439,791,50.0
1,86.94576,1045,50.0
1,87.10581,722,50.0
0,48.189682,835,50.0
1,86.796646,802,50.0
1,64.12331,292,50.0
0,82.04803,850,50.0
0,48.189682,834,50.0
0,74.206825,1469,50.0
1,84.98765,964,50.0
1,86.21516,559,50.0
0,48.189682,187,50.0
0,45.0,802,50.0
0,78.52107,873,50.0
0,83.92379,814,50.0
1,86.43924,1018,50.0
0,79.0068,1032,50.0
1,86.004776,1130,50.0
0,82.9958,192,50.0
0,48.189682,774,50.0
1,87.18717,772,50.0
1,87.693665,1162,50.0
1,86.19644,1107,50.0
0,72.65393,840,50.0
0,84.8109,696,50.0
0,81.25383,651,50.0
0,60.982857,771,50.0
1,87.07295,869,50.0
1,86.08257,1240,50.0
1,87.15966,1685,50.0
0,78.030525,456,50.0
1,85.68014,1026,50.0
0,78.09531,788,50.0
1,87.06046,1469,50.0
0,79.857895,886,50.0
0,83.466965,931,50.0
0,81.2792,534,50.0
0,74.206825,917,50.0
0,54.73561,780,50.0
0,83.88933,658,50.0
0,72.4516,502,50.0
1,85.751976,982,50.0
1,81.82866,1279,50.0
1,86.43061,856,50.0
1,85.24457,742,50.0
0,64.12331,174,50.0
1,85.5384,790,50.0
1,86.05715,1220,50.0
0,84.71802,1416,50.0
0,80.30342,509,50.0
0,84.35902,1193,50.0
1,86.23767,1169,50.0
1,85.24457,1279,50.0
1,84.26801,501,50.0
0,87.857506,872,50.0
1,86.10976,1387,50.0
0,82.04803,799,50.0
1,85.834175,1141,50.0
0,56.309933,774,50.0
1,85.56852,906,50.0
1,86.76489,877,50.0
1,86.0917,1163,50.0
0,78.57824,211,50.0
0,64.12331,775,50.0
1,85.737305,876,50.0
0,82.04803,1033,50.0
1,85.37796,910,50.0
0,0.0,768,50.0
0,83.99924,1189,50.0
1,84.98765,1358,50.0
1,87.13938,1348,50.0
1,86.933754,1095,50.0
1,86.48642,1541,50.0
0,77.760445,425,50.0
0,68.58328,872,50.0
1,85.55186,1439,50.0
0,73.398445,998,50.0
0,68.198586,187,50.0
1,86.9587,1279,50.0
1,86.32573,1076,50.0
0,82.9958,1289,50.0
0,81.82866,1174,50.0
0,71.79923,837,50.0
1,85.07179,1243,50.0
0,84.23181,1433,50.0
1,86.337006,549,50.0
0,26.56505,769,50.0
0,76.91152,945,50.0
0,73.398445,1378,50.0
0,79.857895,851,50.0
1,85.52481,1360,50.0
0,84.31756,832,50.0
1,86.776436,663,50.0
1,85.89345,640,50.0
0,79.857895,864,50.0
0,35.26439,771,50.0
1,26.56505,775,50.0
1,84.98765,731,50.0
0,57.688465,817,50.0
0,82.92944,922,50.0
0,87.58509,761,50.0
1,84.35902,779,50.0
1,86.064125,1084,50.0
0,54.73561,721,50.0
0,35.26439,781,50.0
1,85.25274,1559,50.0
0,81.25383,891,50.0
1,86.729515,1174,50.0
1,85.749054,437,50.0
1,86.30862,1121,50.0
1,85.834175,575,50.0
1,85.94773,1083,50.0
0,56.309933,704,50.0
1,86.87851,1195,50.0
0,77.760445,895,50.0
0,83.369255,1350,50.0
1,85.10339,843,50.0
0,81.95053,1162,50.0
0,26.56505,808,50.0
0,74.206825,842,50.0
1,85.88286,1188,50.0
1,86.69843,1079,50.0
0,87.87526,965,50.0
0,45.0,773,50.0
0,84.88891,936,50.0
0,81.25383,1460,50.0
0,87.35338,853,50.0
0,57.688465,783,50.0
0,64.12331,398,50.0
1,85.737305,753,50.0
0,83.1962,924,50.0
0,74.0546,782,50.0
1,86.10976,1156,50.0
1,80.69496,944,50.0
0,48.189682,807,50.0
1,87.11042,874,50.0
0,83.66949,1078,50.0
0,26.56505,162,50.0
0,81.82866,1094,50.0
0,80.60154,994,50.0
0,0.0,768,50.0
1,86.145134,597,50.0
0,84.35902,630,50.0
0,87.6627,1285,50.0
0,83.110664,909,50.0
1,87.00884,858,50.0
0,77.760445,127,50.0
1,85.95531,1028,50.0
0,84.35902,1027,50.0
0,68.198586,926,50.0
0,81.01512,1129,50.0
0,83.8096,939,50.0
1,86.905945,1378,50.0
0,84.85294,875,50.0
0,60.982857,779,50.0
1,84.289406,925,50.0
1,35.26439,197,50.0
0,84.91414,375,50.0
1,87.13938,699,50.0
1,84.32453,711,50.0
0,84.20977,686,50.0
1,87.15966,1288,50.0
1,74.0546,1850,50.0
1,85.63017,300,50.0
0,69.62547,916,50.0
0,60.982857,791,50.0
0,89.021965,1591,50.0
0,84.023766,807,50.0
0,26.56505,774,50.0
0,77.54542,1244,50.0
1,85.27699,1360,50.0
0,83.477554,658,50.0
1,71.06817,896,50.0
0,72.4516,187,50.0
1,85.14314,1189,50.0
0,60.982857,161,50.0
1,85.9778,1221,50.0
0,84.56578,516,50.0
0,35.26439,793,50.0
1,85.483284,983,50.0
1,85.64283,1343,50.0
0,83.369255,1198,50.0
0,35.26439,810,50.0
1,84.45883,1175,50.0
1,86.295135,533,50.0
0,26.56505,796,50.0
0,80.69496,554,50.0
1,85.898705,937,50.0
1,86.506065,1192,50.0
1,86.10976,1250,50.0
1,85.601295,904,50.0
1,86.55691,1287,50.0
0,57.688465,185,50.0
0,45.0,793,50.0
0,83.14771,767,50.0
1,86.071075,1251,50.0
0,68.58328,778,50.0
1,78.74476,213,50.0
0,84.76781,1128,50.0
1,86.69843,1243,50.0
0,83.66949,497,50.0
1,86.23767,371,50.0
0,84.296486,931,50.0
1,26.56505,780,50.0
1,85.751976,980,50.0
1,82.04803,855,50.0
0,82.17876,1136,50.0
0,56.309933,780,50.0
0,84.50995,209,50.0
0,83.92379,1654,50.0
1,85.95531,1229,50.0
0,87.89365,1009,50.0
0,83.8096,951,50.0
1,86.19434,1592,50.0
1,85.37042,960,50.0
1,86.88888,1202,50.0
1,85.27297,893,50.0
0,76.06791,574,50.0
1,85.514534,841,50.0
0,76.06791,596,50.0
1,86.337006,1068,50.0
0,82.33774,708,50.0
1,86.05481,550,50.0
0,82.9958,1365,50.0
0,84.45234,878,50.0
0,35.26439,821,50.0
1,85.99991,1271,50.0
1,86.67349,1226,50.0
1,85.24457,913,50.0
0,83.39135,246,50.0
1,87.06046,1456,50.0
1,87.14913,1044,50.0
0,77.760445,833,50.0
0,84.18747,1025,50.0
1,84.958626,1020,50.0
0,79.857895,852,50.0
1,85.30087,1025,50.0
1,86.89688,767,50.0
0,54.73561,773,50.0
1,85.37042,1023,50.0
0,84.8109,1036,50.0
1,85.898705,692,50.0
0,81.47448,960,50.0
0,84.18747,1393,50.0
1,86.46642,894,50.0
1,86.55691,912,50.0
1,85.20728,1078,50.0
0,80.69496,754,50.0
0,65.90515,306,50.0
0,0.0,776,50.0
0,56.309933,823,50.0
0,65.90515,778,50.0
1,86.25978,1290,50.0
0,78.57824,827,50.0
1,86.071075,953,50.0
1,86.85509,1160,50.0
0,87.99537,934,50.0
0,81.2792,1121,50.0
1,26.56505,773,50.0
0,82.285835,922,50.0
1,85.45853,1230,50.0
0,78.09531,151,50.0
1,85.88551,815,50.0
0,82.88871,628,50.0
0,54.73561,777,50.0
0,83.33571,894,50.0
1,86.770035,1059,50.0
0,35.26439,784,50.0
1,85.20728,1269,50.0
0,84.8109,1598,50.0
1,84.82678,1004,50.0
0,78.52107,198,50.0
0,80.050865,984,50.0
0,83.92379,860,50.0
0,81.2792,912,50.0
1,86.65083,756,50.0
1,86.76102,1503,50.0
1,85.652245,1359,50.0
1,68.198586,778,50.0
1,85.749054,1186,50.0
1,85.14314,910,50.0
1,86.776436,961,50.0
0,79.0068,590,50.0
0,81.2792,958,50.0
0,84.79486,1432,50.0
0,84.50995,1241,50.0
1,85.27699,302,50.0
0,0.0,0,0.0
0,84.71802,1030,50.0
0,72.65393,154,50.0
1,86.68048,1374,50.0
0,26.56505,780,50.0
0,80.050865,1074,50.0
0,78.69006,904,50.0
0,60.982857,768,50.0
1,85.71352,1480,50.0
0,71.06817,774,50.0
0,78.030525,586,50.0
0,82.92944,1437,50.0
1,86.91604,1339,50.0
0,63.434948,816,50.0
0,45.0,178,50.0
0,87.42192,411,50.0
0,64.12331,780,50.0
0,26.56505,801,50.0
1,86.188034,1111,50.0
0,26.56505,767,50.0
1,86.21516,881,50.0
1,85.37042,1619,50.0
0,83.94925,934,50.0
1,85.42608,1464,50.0
0,84.289406,759,50.0
0,82.40536,534,50.0
0,48.189682,799,50.0
0,79.975,841,50.0
0,71.56505,534,50.0
0,87.72255,1089,50.0
1,86.832344,1317,50.0
0,56.309933,770,50.0
1,86.63063,613,50.0
1,85.70448,822,50.0
0,56.309933,783,50.0
0,54.73561,778,50.0
1,85.749054,1088,50.0
1,85.85332,1032,50.0
1,86.071075,865,50.0
1,86.68048,1099,50.0
0,63.434948,878,50.0
0,82.79088,830,50.0
1,86.05481,909,50.0
0,84.45883,752,50.0
1,85.84241,509,50.0
0,82.47121,812,50.0
0,81.01512,204,50.0
1,86.19644,974,50.0
1,85.37042,1299,50.0
1,85.77514,746,50.0
0,60.982857,197,50.0
0,81.95053,684,50.0
0,84.70676,1670,50.0
1,85.7636,1194,50.0
0,69.62547,786,50.0
0,64.7606,813,50.0
0,84.78948,1246,50.0
1,85.6709,1365,50.0
0,79.524315,937,50.0
0,84.78948,620,50.0
1,86.63354,602,50.0
1,85.63017,382,50.0
0,26.56505,782,50.0
0,87.7011,616,50.0
0,81.52128,624,50.0
1,86.33888,1509,50.0
0,83.466965,919,50.0
0,35.26439,185,50.0
0,89.048454,935,50.0
1,78.030525,319,50.0
0,63.434948,164,50.0
0,68.58328,780,50.0
0,81.2792,1071,50.0
0,80.81531,1046,50.0
0,81.069855,612,50.0
1,85.7636,575,50.0
0,84.26801,1059,50.0
1,85.5384,1323,50.0
1,60.982857,172,50.0
0,75.28564,837,50.0
0,57.688465,792,50.0
0,57.688465,266,50.0
0,84.93406,916,50.0
1,85.7951,1150,50.0
1,87.66318,925,50.0
0,76.82529,890,50.0
0,84.39959,1567,50.0
0,35.26439,690,50.0
0,84.70676,1016,50.0
0,48.189682,897,50.0
1,85.27699,499,50.0
0,84.05602,1233,50.0
0,68.198586,769,50.0
1,45.0,833,50.0
0,60.982857,163,50.0
1,86.23767,1303,50.0
1,86.24575,493,50.0
1,85.03492,671,50.0
1,85.27699,690,50.0
1,87.02401,838,50.0
0,35.26439,773,50.0
1,86.39725,1070,50.0
0,71.06817,141,50.0
1,85.63017,853,50.0
0,26.56505,776,50.0
1,45.0,829,50.0
0,83.33571,939,50.0
0,84.289406,784,50.0
0,56.309933,772,50.0
0,68.58328,779,50.0
1,87.15353,752,50.0
0,35.26439,770,50.0
0,84.289406,963,50.0
0,78.52107,819,50.0
0,82.42198,1144,50.0
1,85.95531,1303,50.0
1,86.44609,953,50.0
1,85.44058,1581,50.0
1,85.469185,1121,50.0
1,85.42608,521,50.0
1,86.0917,351,50.0
0,80.66413,1454,50.0
0,45.0,391,50.0
0,68.198586,208,50.0
1,79.155495,967,50.0
0,83.550285,801,50.0
0,48.189682,784,50.0
0,87.55393,709,50.0
0,82.9958,421,50.0
0,71.56505,786,50.0
1,86.151665,914,50.0
0,35.26439,770,50.0
0,82.88871,936,50.0
0,79.736565,286,50.0
0,35.26439,775,50.0
0,57.688465,783,50.0
0,77.395615,1597,50.0
0,83.369255,716,50.0
1,85.25274,1176,50.0
1,85.80918,471,50.0
1,86.79289,1018,50.0
0,80.81531,1099,50.0
0,82.79088,1278,50.0
0,83.047554,1087,50.0
0,72.65393,773,50.0
0,84.35902,837,50.0
0,77.760445,1515,50.0
1,85.78942,1005,50.0
0,79.155495,1031,50.0
0,57.688465,873,50.0
1,86.458,477,50.0
1,86.07568,909,50.0
1,85.56852,934,50.0
0,71.06817,360,50.0
0,84.023766,846,50.0
0,57.688465,188,50.0
0,79.155495,157,50.0
0,35.26439,770,50.0
0,84.78948,1036,50.0
0,71.56505,1534,50.0
0,81.35399,198,50.0
0,48.189682,774,50.0
0,82.92944,1250,50.0
1,86.071075,981,50.0
0,87.421265,1485,50.0
1,86.145134,754,50.0
0,35.26439,770,50.0
0,71.79923,211,50.0
0,80.050865,1403,50.0
0,35.26439,801,50.0
0,48.189682,777,50.0
0,54.73561,199,50.0
1,86.88659,1090,50.0
0,68.198586,835,50.0
1,85.42971,1119,50.0
1,86.310524,1102,50.0
0,83.110664,809,50.0
0,84.35902,1286,50.0
0,56.309933,785,50.0
1,86.35558,1264,50.0
0,74.206825,878,50.0
0,26.56505,772,50.0
0,82.33774,707,50.0
1,86.98825,566,50.0
1,86.25178,897,50.0
0,57.688465,772,50.0
1,85.04885,1342,50.0
1,86.23767,1584,50.0
0,74.638596,381,50.0
1,85.12117,1269,50.0
1,56.309933,202,50.0
1,86.45121,1473,50.0
1,86.23767,1207,50.0
1,87.2278,1299,50.0
0,81.47448,1022,50.0
0,84.76781,1473,50.0
1,85.749054,1295,50.0
1,86.151665,776,50.0
0,81.95053,911,50.0
1,85.15617,481,50.0
0,84.69543,1499,50.0
1,0.0,773,50.0
0,84.67829,1302,50.0
0,56.309933,789,50.0
0,48.189682,777,50.0
1,86.73084,1090,50.0
1,85.86413,669,50.0
1,86.219284,1419,50.0
0,26.56505,773,50.0
1,85.85332,903,50.0
0,84.31756,261,50.0
1,86.74143,1154,50.0
0,48.189682,162,50.0
0,82.88871,1009,50.0
0,82.42198,1256,50.0
0,82.04803,367,50.0
0,69.62547,772,50.0
0,45.0,790,50.0
1,86.24374,1023,50.0
0,35.26439,776,50.0
0,84.79486,1068,50.0
1,86.83113,765,50.0
0,87.31957,1626,50.0
0,87.27446,1665,50.0
1,86.32573,1094,50.0
1,86.65655,711,50.0
1,86.53177,932,50.0
1,84.948845,1444,50.0
1,86.80289,709,50.0
1,86.63499,1076,50.0
0,87.4998,1164,50.0
1,86.87851,1077,50.0
1,87.06818,1123,50.0
1,86.38111,1271,50.0
1,86.66927,1231,50.0
0,0.0,768,50.0
0,82.70372,819,50.0
1,85.37796,516,50.0
0,73.398445,696,50.0
1,86.55691,1227,50.0
1,85.89345,1506,50.0
0,84.45883,863,50.0
0,57.688465,810,50.0
0,84.70676,937,50.0
1,87.03697,1305,50.0
0,82.33774,1296,50.0
1,86.40435,1649,50.0
1,85.94773,1011,50.0
1,85.6142,896,50.0
0,87.87891,1294,50.0
0,84.246376,1098,50.0
0,84.296486,814,50.0
1,86.285416,725,50.0
0,76.06791,287,50.0
1,85.03492,1061,50.0
0,68.198586,164,50.0
0,82.10485,1143,50.0
0,83.8096,499,50.0
1,86.31625,1172,50.0
0,0.0,768,50.0
0,84.11897,325,50.0
0,79.0068,331,50.0
0,48.189682,768,50.0
0,87.434875,992,50.0
0,80.69496,787,50.0
0,54.73561,776,50.0
0,87.59097,213,50.0
0,80.56977,899,50.0
0,79.975,866,50.0
0,45.0,762,50.0
0,75.636696,899,50.0
1,86.0336,1019,50.0
0,84.56578,644,50.0
0,35.26439,696,50.0
1,86.63063,1288,50.0
1,84.98765,1078,50.0
0,48.189682,188,50.0
0,84.20236,962,50.0
1,81.869896,849,50.0
1,87.15966,1475,50.0
1,85.42608,850,50.0
1,86.83113,1218,50.0
1,85.601295,713,50.0
0,81.544395,416,50.0
1,85.03492,340,50.0
0,84.296486,484,50.0
0,83.56048,877,50.0
1,86.064125,865,50.0
0,84.52875,770,50.0
1,85.78942,542,50.0
1,83.98271,1210,50.0
0,26.56505,810,50.0
1,86.219284,846,50.0
0,76.82529,221,50.0
0,84.50995,585,50.0
1,86.686035,1128,50.0
1,86.004776,979,50.0
0,75.28564,761,50.0
1,85.98027,1165,50.0
0,72.4516,172,50.0
1,85.60453,1540,50.0
1,85.77514,882,50.0
0,82.9958,1003,50.0
1,82.9958,1127,50.0
1,85.37042,1090,50.0
1,65.90515,784,50.0
0,72.4516,178,50.0
1,87.15529,744,50.0
0,26.56505,772,50.0
0,64.12331,771,50.0
1,87.02401,1040,50.0
1,82.285835,244,50.0
0,84.56578,394,50.0
0,57.688465,189,50.0
0,26.56505,772,50.0
0,75.96375,135,50.0
0,82.88871,903,50.0
0,68.58328,778,50.0
1,85.99991,1399,50.0
0,48.189682,959,50.0
0,87.34558,1261,50.0
0,57.688465,161,50.0
0,26.56505,783,50.0
0,83.1962,827,50.0
1,85.6142,1163,50.0
0,82.10485,986,50.0
1,56.309933,168,50.0
1,86.35558,679,50.0
1,77.47119,1255,50.0
0,76.82529,236,50.0
0,45.0,775,50.0
0,84.70676,997,50.0
1,86.285416,939,50.0
1,86.54441,1274,50.0
0,82.9958,390,50.0
0,84.023766,1103,50.0
0,78.52107,814,50.0
1,87.55671,973,50.0
1,85.9778,1035,50.0
0,87.61921,862,50.0
0,68.58328,635,50.0
1,86.29319,814,50.0
0,35.26439,806,50.0
1,86.57541,947,50.0
0,84.85294,959,50.0
0,87.27446,1049,50.0
1,86.02645,918,50.0
1,85.08541,1148,50.0
0,87.81826,968,50.0
0,87.395424,793,50.0
1,85.85332,870,50.0
1,86.32573,1146,50.0
0,72.65393,798,50.0
0,64.12331,808,50.0
0,76.06791,871,50.0
1,87.19393,1433,50.0
0,71.79923,921,50.0
0,83.79145,1037,50.0
1,86.337006,1183,50.0
0,57.688465,793,50.0
1,86.82505,624,50.0
0,83.56048,409,50.0
0,73.398445,1102,50.0
0,81.635,997,50.0
0,87.3085,502,50.0
1,86.42541,1012,50.0
1,79.857895,841,50.0
1,86.261765,834,50.0
0,77.760445,844,50.0
1,82.33774,791,50.0
1,87.09467,459,50.0
0,35.26439,769,50.0
0,81.2792,657,50.0
0,87.30254,1618,50.0
0,26.56505,880,50.0
0,84.39959,1971,50.0
0,80.56977,856,50.0
0,80.81531,825,50.0
1,85.24047,798,50.0
1,85.15617,758,50.0
0,79.480255,927,50.0
0,0.0,787,50.0
1,84.32453,924,50.0
1,86.9587,487,50.0
1,48.189682,208,50.0
0,80.30342,1045,50.0
0,78.09531,244,50.0
1,86.004776,719,50.0
1,86.064125,1579,50.0
0,71.06817,178,50.0
0,64.12331,164,50.0
1,84.958626,871,50.0
1,85.6142,300,50.0
1,87.2073,634,50.0
0,81.89028,876,50.0
0,81.89028,990,50.0
1,84.063995,907,50.0
1,85.26894,269,50.0
1,86.533356,698,50.0
0,83.62063,307,50.0
0,26.56505,790,50.0
0,76.366974,952,50.0
0,79.857895,1145,50.0
0,48.189682,771,50.0
1,86.67629,1321,50.0
0,83.8096,865,50.0
0,45.0,772,50.0
0,81.95053,906,50.0
1,71.06817,181,50.0
0,56.309933,170,50.0
0,72.4516,1075,50.0
0,87.66318,1384,50.0
1,85.94011,1102,50.0
0,82.40536,952,50.0
1,86.734825,1067,50.0
1,60.982857,1288,50.0
0,35.26439,794,50.0
1,86.071075,1271,50.0
0,57.688465,182,50.0
1,85.93755,1154,50.0
1,85.737305,1105,50.0
0,84.88891,544,50.0
1,65.90515,787,50.0
1,84.958626,736,50.0
0,56.309933,777,50.0
0,78.69006,434,50.0
1,86.188034,871,50.0
0,87.30105,1292,50.0
0,68.198586,168,50.0
0,77.760445,849,50.0
1,86.840775,699,50.0
0,87.34772,1282,50.0
0,84.087746,961,50.0
1,48.189682,783,50.0
1,85.436966,1228,50.0
1,85.86413,1013,50.0
1,86.494644,907,50.0
0,84.11897,846,50.0
0,74.49864,1027,50.0
1,85.42608,352,50.0
0,82.79088,1111,50.0
1,84.56578,1000,50.0
0,64.12331,151,50.0
1,60.982857,798,50.0
1,68.58328,779,50.0
0,84.56578,568,50.0
1,86.65083,1275,50.0
1,84.98765,870,50.0
0,82.285835,260,50.0
0,76.91152,980,50.0
0,74.638596,593,50.0
1,86.65083,1078,50.0
1,85.514534,1464,50.0
1,85.7636,263,50.0
0,83.047554,416,50.0
0,84.45234,650,50.0
1,86.60708,593,50.0
0,84.76781,1043,50.0
0,84.11897,1002,50.0
0,84.625885,1065,50.0
1,86.151665,1275,50.0
0,83.8096,225,50.0
1,86.99654,322,50.0
1,72.4516,201,50.0
0,84.82678,908,50.0
1,85.42971,715,50.0
1,86.48642,942,50.0
0,81.01512,1149,50.0
1,87.95752,957,50.0
0,57.688465,786,50.0
0,83.550285,620,50.0
1,85.10339,463,50.0
0,54.73561,162,50.0
1,85.80918,1114,50.0
0,84.087746,940,50.0
0,35.26439,776,50.0
1,85.92473,1078,50.0
1,86.24575,1687,50.0
0,83.62063,453,50.0
1,85.177666,1685,50.0
0,79.480255,617,50.0
1,86.67629,493,50.0
1,85.316605,774,50.0
0,84.91414,1011,50.0
1,86.47313,1161,50.0
0,83.66949,868,50.0
1,84.98765,1272,50.0
0,64.12331,1051,50.0
0,77.54542,835,50.0
0,80.56977,889,50.0
0,88.152626,1151,50.0
0,84.82678,1297,50.0
1,85.27297,947,50.0
1,86.399025,1016,50.0
0,26.56505,776,50.0
0,60.982857,780,50.0
0,78.09531,783,50.0
1,85.25274,534,50.0
0,57.688465,769,50.0
0,45.0,769,50.0
0,81.123604,187,50.0
0,77.54542,1245,50.0
0,48.189682,296,50.0
1,82.88871,913,50.0
0,35.26439,772,50.0
1,86.776436,1605,50.0
1,45.0,154,50.0
0,78.90419,616,50.0
1,87.2073,1418,50.0
0,69.62547,774,50.0
0,54.73561,784,50.0
0,84.20236,188,50.0
